# Observation File: observation_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water flux [mol]
# Region: observation region
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water flux [mol]"
4.797455367598e+00,-4.996283016331e-02
4.812501695288e+00,-4.996462680121e-02
4.827548022979e+00,-4.996633658584e-02
4.842594350669e+00,-4.996796371716e-02
4.857640678360e+00,-4.996951219191e-02
4.872687006050e+00,-4.997098581344e-02
4.887733333741e+00,-4.997238820108e-02
4.902779661432e+00,-4.997372279908e-02
4.917825989122e+00,-4.997499288505e-02
4.932872316813e+00,-4.997620157806e-02
4.947918644503e+00,-4.997735184630e-02
4.962964972194e+00,-4.997844651438e-02
4.978011299884e+00,-4.997948827034e-02
4.993057627575e+00,-4.998047967215e-02
5.000000000000e+00,-4.998092662832e-02
5.015046327691e+00,-4.998184850641e-02
5.030092655381e+00,-4.998272582559e-02
5.045138983072e+00,-4.998356073988e-02
5.060185310762e+00,-4.998435529916e-02
5.075231638453e+00,-4.998511145421e-02
5.090277966143e+00,-4.998583106145e-02
5.105324293834e+00,-4.998651588756e-02
5.120370621524e+00,-4.998716761382e-02
5.135416949215e+00,-4.998778784018e-02
5.150463276905e+00,-4.998837808926e-02
5.165509604596e+00,-4.998893981009e-02
5.180555932286e+00,-4.998947438159e-02
5.195602259977e+00,-4.998998311607e-02
5.210648587667e+00,-4.999046726235e-02
5.225694915358e+00,-4.999092800892e-02
5.240741243048e+00,-4.999136648677e-02
5.255787570739e+00,-4.999178377224e-02
5.270833898429e+00,-4.999218088964e-02
5.285880226120e+00,-4.999255881374e-02
5.300926553811e+00,-4.999291847220e-02
5.315972881501e+00,-4.999326074784e-02
5.331019209192e+00,-4.999358648081e-02
5.346065536882e+00,-4.999389647062e-02
5.361111864573e+00,-4.999419147817e-02
5.376158192263e+00,-4.999447222757e-02
5.391204519954e+00,-4.999473940790e-02
5.406250847644e+00,-4.999499367498e-02
5.421297175335e+00,-4.999523565290e-02
5.436343503025e+00,-4.999546593560e-02
5.451389830716e+00,-4.999568508830e-02
5.466436158406e+00,-4.999589364893e-02
5.481482486097e+00,-4.999609212940e-02
5.496528813787e+00,-4.999628101687e-02
5.511575141478e+00,-4.999646077498e-02
5.526621469168e+00,-4.999663184496e-02
5.541667796859e+00,-4.999679464669e-02
5.556714124549e+00,-4.999694957978e-02
5.571760452240e+00,-4.999709702454e-02
5.586806779930e+00,-4.999723734287e-02
5.601853107621e+00,-4.999737087920e-02
5.616899435312e+00,-4.999749796130e-02
5.631945763002e+00,-4.999761890111e-02
5.646992090693e+00,-4.999773399550e-02
5.662038418383e+00,-4.999784352698e-02
5.677084746074e+00,-4.999794776441e-02
5.692131073764e+00,-4.999804696365e-02
5.707177401455e+00,-4.999814136822e-02
5.722223729145e+00,-4.999823120985e-02
5.737270056836e+00,-4.999831670907e-02
5.752316384526e+00,-4.999839807575e-02
5.767362712217e+00,-4.999847550963e-02
5.782409039907e+00,-4.999854920079e-02
5.797455367598e+00,-4.999861933012e-02
5.812501695288e+00,-4.999868606977e-02
5.827548022979e+00,-4.999874958358e-02
5.842594350669e+00,-4.999881002745e-02
5.857640678360e+00,-4.999886754977e-02
5.872687006050e+00,-4.999892229174e-02
5.887733333741e+00,-4.999897438774e-02
5.902779661432e+00,-4.999902396565e-02
5.917825989122e+00,-4.999907114719e-02
5.932872316813e+00,-4.999911604818e-02
5.947918644503e+00,-4.999915877883e-02
5.962964972194e+00,-4.999919944406e-02
5.978011299884e+00,-4.999923814369e-02
5.993057627575e+00,-4.999927497273e-02
6.000000000000e+00,-4.999929157652e-02
6.015046327691e+00,-4.999932582280e-02
6.030092655381e+00,-4.999935841373e-02
6.045138983072e+00,-4.999938942931e-02
6.060185310762e+00,-4.999941894570e-02
6.075231638453e+00,-4.999944703535e-02
6.090277966143e+00,-4.999947376721e-02
6.105324293834e+00,-4.999949920693e-02
6.120370621524e+00,-4.999952341695e-02
6.135416949215e+00,-4.999954645671e-02
6.150463276905e+00,-4.999956838276e-02
6.165509604596e+00,-4.999958924895e-02
6.180555932286e+00,-4.999960910651e-02
6.195602259977e+00,-4.999962800417e-02
6.210648587667e+00,-4.999964598834e-02
6.225694915358e+00,-4.999966310317e-02
6.240741243048e+00,-4.999967939068e-02
6.255787570739e+00,-4.999969489087e-02
6.270833898429e+00,-4.999970964177e-02
6.285880226120e+00,-4.999972367962e-02
6.300926553811e+00,-4.999973703888e-02
6.315972881501e+00,-4.999974975234e-02
6.331019209192e+00,-4.999976185123e-02
6.346065536882e+00,-4.999977336524e-02
6.361111864573e+00,-4.999978432266e-02
6.376158192263e+00,-4.999979475037e-02
6.391204519954e+00,-4.999980467400e-02
6.406250847644e+00,-4.999981411789e-02
6.421297175335e+00,-4.999982310525e-02
6.436343503025e+00,-4.999983165814e-02
6.451389830716e+00,-4.999983979755e-02
6.466436158406e+00,-4.999984754349e-02
6.481482486097e+00,-4.999985491495e-02
