# Observation File: surface_total_concentration_crunch.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface total concentration
# Region: east conc
# Functional: average
# Variable: surface-total_component_concentration
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface total concentration"
1.503360000000e+07 4.771710768606e-07 2.348907942059e-05 1.466722123532e-05 8.128767012890e-06
1.512000000000e+07 4.717493202039e-07 2.344478044440e-05 1.469316700986e-05 8.062294571554e-06
1.520640000000e+07 4.662449161287e-07 2.338944525042e-05 1.471202474832e-05 7.992085975174e-06
1.529280000000e+07 4.607372175894e-07 2.332727223934e-05 1.472606266124e-05 7.919967758020e-06
1.537920000000e+07 4.552556684503e-07 2.326044540206e-05 1.473659078600e-05 7.846766940432e-06
1.546560000000e+07 4.498135220108e-07 2.319029781350e-05 1.474445765916e-05 7.772942039783e-06
1.555200000000e+07 4.444129033851e-07 2.311700008762e-05 1.474976233576e-05 7.698560772189e-06
1.563840000000e+07 4.390652661704e-07 2.304160646344e-05 1.475315869065e-05 7.624002001336e-06
1.572480000000e+07 4.337771779678e-07 2.296493540912e-05 1.475517798525e-05 7.549537510218e-06
1.581120000000e+07 4.285475071588e-07 2.288743905240e-05 1.475616438484e-05 7.475269463481e-06
1.589760000000e+07 4.233710776694e-07 2.280938221770e-05 1.475636870542e-05 7.401211117316e-06
1.598400000000e+07 4.182410344439e-07 2.273091915051e-05 1.475597941607e-05 7.327330085920e-06
1.607040000000e+07 4.131498429232e-07 2.265213138660e-05 1.475513977929e-05 7.253567957548e-06
1.615680000000e+07 4.080895793595e-07 2.257301948655e-05 1.475393836438e-05 7.179841449669e-06
1.624320000000e+07 4.030528122975e-07 2.249357457676e-05 1.475245255367e-05 7.106068938530e-06
1.632960000000e+07 3.980327001605e-07 2.241380190503e-05 1.475076504247e-05 7.032177135759e-06
1.641600000000e+07 3.930223270863e-07 2.233365727971e-05 1.474892369474e-05 6.958078929296e-06
1.650240000000e+07 3.880152142971e-07 2.225307483067e-05 1.474695634414e-05 6.883685647550e-06
1.658880000000e+07 3.830057127106e-07 2.217198180022e-05 1.474487715563e-05 6.808915035729e-06
1.667520000000e+07 3.779891112169e-07 2.209030650691e-05 1.474269112970e-05 6.733694529971e-06
1.676160000000e+07 3.729616207366e-07 2.200798270935e-05 1.474039738856e-05 6.657962276786e-06
1.684800000000e+07 3.679203114177e-07 2.192495173658e-05 1.473799133975e-05 6.581667101913e-06
1.693440000000e+07 3.628630384228e-07 2.184116305841e-05 1.473546583088e-05 6.504767956964e-06
1.702080000000e+07 3.577883703263e-07 2.175657366991e-05 1.473281137452e-05 6.427233124434e-06
1.710720000000e+07 3.526955372299e-07 2.167114692833e-05 1.473001574477e-05 6.349039498670e-06
1.719360000000e+07 3.475844014641e-07 2.158485136442e-05 1.472706325826e-05 6.270172141681e-06
1.728000000000e+07 3.424554571206e-07 2.149766006578e-05 1.472393417721e-05 6.190624263938e-06
