# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff surface [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff subsurface [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: integral
# Variable: surface-water_source
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","runoff surface [mol d^-1]","runoff subsurface [mol d^-1]","rain precipitation [m d^-1]"
5.432565876787e+02,3.386153827236e+06,8.998709023305e+07,0.000000000000e+00,6.089592480088e+03,2.885305818058e-01
5.499355363316e+02,3.421995840950e+06,8.996096381905e+07,0.000000000000e+00,6.154194068244e+03,2.885305818058e-01
5.566144849845e+02,3.457708915981e+06,8.993490137316e+07,0.000000000000e+00,6.217916653381e+03,2.885305818058e-01
5.632934336374e+02,3.493297381830e+06,8.990890431982e+07,0.000000000000e+00,6.280972638133e+03,2.885305818058e-01
5.716421194535e+02,3.537574672307e+06,8.987651484960e+07,0.000000000000e+00,7.948667038192e+03,3.606632272573e-01
5.758164623616e+02,3.559662634684e+06,8.986034668596e+07,0.000000000000e+00,3.998614953063e+03,1.803316136286e-01
5.810343909967e+02,3.587190331954e+06,8.984017872096e+07,0.000000000000e+00,5.035999528974e+03,2.254145170358e-01
5.862523196318e+02,3.614641227362e+06,8.982005314453e+07,0.000000000000e+00,5.073519310983e+03,2.254145170358e-01
5.927747304257e+02,3.648832102848e+06,8.979496392558e+07,0.000000000000e+00,6.400045212626e+03,2.817681462948e-01
5.992971412195e+02,3.682879036523e+06,8.976994330351e+07,0.000000000000e+00,6.457695024315e+03,2.817681462948e-01
6.033736479657e+02,3.704118989569e+06,8.975433230597e+07,0.000000000000e+00,4.058473667974e+03,1.761050914342e-01
6.074501547118e+02,3.725317709215e+06,8.973874885377e+07,0.000000000000e+00,4.080755109495e+03,1.761050914342e-01
6.115266614580e+02,3.746467359874e+06,8.972319339597e+07,0.000000000000e+00,4.102888698009e+03,1.761050914342e-01
6.135649148311e+02,3.757036690185e+06,8.971542263270e+07,0.000000000000e+00,2.056961798594e+03,8.805254571712e-02
6.156031682042e+02,3.765393292118e+06,8.970984620313e+07,0.000000000000e+00,2.062590771083e+03,8.805254571712e-02
